PERMEN LHK. 3/0,UU. 5/1990,PP. 13/1994,PP. 18/1994,PP. 68/1998,UU. 41/1999,PP. 7/1999,PP. 8/1999,PP. 34/2002,PP. 35/2002,PP. 63/2002,UU. 19/2004,PP. 44/2004,PP. 45/2004,PERMEN LH. 10/2006,PERMEN LH. 11/2006,PERMEN LH. 12/2006,PERMEN LH. 14/2006,UU. 16/2006,PERMEN LH. 2/2006,PERMEN LH. 3/2006
PERMENHUT. 1/2014,PERMENHUT. 10/2014,PERMEN LHK. 100/2014,PERMEN LHK. 101/2014,PP. 101/2014,PERMEN LHK. 102/2014,PERMEN LHK. 103/2014,PERMENHUT. 11/2014,PERMENHUT. 12/2014,PP. 12/2014,PERMENHUT. 13/2014,PERMENHUT. 14/2014,PERMENHUT. 15/2014,PERMENHUT. 16/2014,PERMENHUT. 17/2014,PERMENHUT. 19/2014,PERMENHUT. 2/2014,PERMEN LH. 2/2014,PERMENHUT. 20/2014,PERMENHUT. 21/2014,PERMENHUT. 22/2014
Peraturan Menteri Kehutanan Nomor P.1/Menhut-II/2014 tentang Pelimpahan Sebagian Urusan Pemerintahan (Dekonsentrasi) Bidang Kehutanan Tahun 2014 Kepada 33 Gubernur Pemerintah Provinsi Selaku Wakil Pemerintah,Peraturan Menteri Kehutanan Nomor P.10/Menhut-II/2014 tentang Petunjuk Teknis jabatan Fungsional Pengendali Ekosistem Hutan dan Angka Kreditnya,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.100/Menhut-II/2014 tentang Penugasan (Medebewin) Sebagian Urusan Pemerintahan Bidang Kehutanan Tahun 2015 Kepada Bupati Berau, Bupati Malinau, Dan Bupati Kapuas Hulu Dalam Rangka Penyelenggaraa",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.101/Menhut-II/2014 tentang Pedoman Pelaksanaan Pelimpahan Sebagian Urusan Pemerintahan (Dekonsentrasi) Bidang Kehutanan Tahun 2015 yang Dilimpahkan Kepada Gubernur Selaku Wakil Pemerintah,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2014 tentang Pengelolaan Limbah Bahan Berbahaya dan Beracun,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.102/Menhut-II/2014 tentang Pedoman Pelaksanaan Peugasan (Medebewin) Sebagian Urusan Pemerintahan Bidang Kehutanan Tahun 2015 Kepada Bupati Berau, Bupati Malinau, dan Bupati Kapuas Hulu Dalam Ra",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.103/Menhut-II/2014 tentang Rencana Kerja Usaha Pemanfaatan Hasil Hutan Bukan Kayu Dalam Hutan Alam Atau Hutan Tanaman Pada Hutan Produksi,Peraturan Menteri Kehutanan Nomor P.11/Menhut-II/2014 tentang Penyelenggaraan Pendidikan Sekolah Menengah Kejuruan Kehutanan Negeri,Peraturan Menteri Kehutanan Nomor P.12/Menhut-II/2014 tentang Pedoman Pemanfaatan Barang Milik Negara Berupa Perkebunan Kelapa Sawit di Kawasan Hutan Register 40 Padang Lawas Provinsi Sumatera Utara Seluas ±47.000 (Empat Puluh Tujuh Ribu) Hektar Bese,Peraturan Pemerintah Republik Indonesia Nomor 12 Tahun 2014 tentang Jenis dan Tarif Atas Jenis Penerimaan Negara Bukan Pajak yang Berlaku Pada Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.13/Menhut-II/2014 tentang Unit Layanan Pengadaan di Lingkungan Kementerian Kehutanan,"Peraturan Menteri Kehutanan Nomor P.14/Menhut-II/2014 tentang Pakaian Dinas di Lingkungan Kementerian, Satuan KerjaPerangkat Daerah, dan Badan Usaha Milik Negara Bidang Kehutanan","Peraturan Menteri Kehutanan Nomor P.15/Menhut-II/2014 tentang Pengelolaan Senjata Api di Lingkungan Kementerian Kehutanan, Satuan Kerja Perangkat Daerah dan Badan Usaha Milik Negara Bidang Kehutanan",Peraturan Menteri Kehutanan Nomor P.16/Menhut-II/2014 tentang Pedoman Pinjam Pakai Kawasan Hutan,Peraturan Menteri Kehutanan Nomor P.17/Menhut-II/2014 tentang Tata Cara Pemberdayaan Masyarakat Dalam Kegiatan Pengelolaan Daerah Aliran Sungai,Peraturan Menteri Kehutanan Nomor P.19/Menhut-II/2014 tentang Tata Cara Penetapan Peta Indikatif Arahan Pemanfaatan Hutan Pada Kawasan Hutan Produksi Yang Tidak Dibebani Izin Untuk Usaha Pemanfaatan Hasil Hutan Kayu,"Peraturan Menteri Kehutanan Nomor P.2/Menhut-II/2014 tentang Penugasan (Medebewin) Sebagian Urusan Pemerintahan Bidang Kehutanan Tahun 2014 Kepada Bupati Berau, Bupati Malianau, dan Bupati Kapuas Hulu Dalam Rangka Peneyelenggaraan Program Hutan dan P",Peraturan Menteri Lingkungan Hidup Republik Indonesia Nomor 2 Tahun 2014 tentang Pencantuman Logo Ekolabel,Peraturan Menteri Kehutanan Nomor P.20/Menhut-II/2014 tentang Pedoman Umum Pengembangan Perhutanan Masyarakat Pedesaan Berbasis Konservasi,Peraturan Menteri Kehutanan Nomor P.21/Menhut-II/2014 tentang Pengelolaan dan Pemantauan Lingkungan Kegiatan Kehutanan,Peraturan Menteri Kehutanan Nomor P.22/Menhut-II/2014 tentang Pencabutan Peraturan Menteri Kehutanan Nomor P.20/Menhut-II/2005 tentang Kerjasama Operasi Pada Izin Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Tanaman Sebagaimana telah Diubah Dengan P
PERMENHUT. 23/2014,PERMENHUT. 24/2014,PERMENHUT. 25/2014,PERMENHUT. 26/2014,PERMENHUT. 27/2014,PERMENHUT. 28/2014,PERMENHUT. 29/2014,PERMENHUT. 3/2014,PERMEN LH. 3/2014,PERMENHUT. 30/2014,PERMENHUT. 31/2014,PERMENHUT. 32/2014,PERMENHUT. 33/2014,PP. 33/2014,PERMENHUT. 34/2014,PERMENHUT. 35/2014,PERMENHUT. 36/2014,PERMENHUT. 37/2014,UU. 37/2014,PERMENHUT. 38/2014,PERMENHUT. 39/2014
Peraturan Menteri Kehutanan Nomor P.23/Menhut-II/2014 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.36/Menhut-II/2012 tentang Tata Cara Penyaluran dan Pengembalian Dana Bergulir Untuk Kegiatan Rehabilitasi Hutan dan Lahan,"Peraturan Menteri Kehutanan Nomor P.24/Menhut-II/2014 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P/.16/Menhut-II/2006 tentang Tata Cara Penulisan Referensi 15 Digit pada Pembayaran Provisi Sumber Daya Hutan (PSDH), Dana Reboisasi",Peraturan Menteri Kehutanan Nomor P.25/Menhut-II/2014 tentang Panitia Tata Batas Kawasan Hutan,Peraturan Menteri Kehutanan Nomor P.26/Menhut-II/2014 tentang Evaluasi Akuntabilitas Kinerja Instansi Pemerintah di Lingkungan Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.27/Menhut-II/2014 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P.32/Menhut-II/2010 tentang Tukar Menukar Kawasan Hutan,Peraturan Menteri Kehutanan Nomor P.28/Menhut-II/2014 tentang Perubahan Ketiga Atas Peraturan Menteri Kehutanan Nomor P.33/Menhut-II/2010 tentang Tata Cara Pelepasan Kawasan Hutan Produksi Yang Dapat Dikonversi,Peraturan Menteri Kehutanan Nomor P.29/Menhut-II/2014 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.34/Menhut-II/2010 tentang Tata Cara Perubahan Fungsi Kawasan Hutan,Peraturan Menteri Kehutanan Nomor P.3/Menhut-II/2014 tentang Petunjuk Teknis Pelaksanaan Urusan Pemerintahan (Dekosentrasi) Bidang Kehutanan Tahun 2014 yang Dilimpahkan Kepada Gubernur Selaku Wakil Pemerintah,Peraturan Menteri Lingkungan Hidup Republik Indonesia Nomor 3 Tahun 2014 tentang Program Penilaian Peringkat Kinerja Perusahaan Dalam Pengelolaan Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.30/Menhut-II/2014 tentang Inventarisasi Hutan Menyeluruh Berkala dan Rencana Kerja Pada Usaha Pemanfaatan Hasil Hutan Kayu Hutan Tanaman Industri,"Peraturan Menteri Kehutanan Nomor P.31/Menhut-II/2014 tentang Tata Cara Pemberian dan Perluasan Areal Kerja Izin Usaha Pemanfaatan Hasil Hutan Kayu Dalam Hutan Alam, Izin Usaha Pemanfaatan Hasil Hutan Kayu Restorasi Ekosistem Atau Izin Usaha Pemanfaa",Peraturan Menteri Kehutanan Nomor P.32/Menhut-II/2014 tentang Pedoman Pelaporan Keuangan Pemanfaatan Hutan Produksi (DOLAPKEU-PHP),Peraturan Menteri Kehutanan Nomor P.33/Menhut-II/2014 tentang Inventarisasi Hutan Menyeluruh Berkala dan Rencana Kerja Pada Izin Usaha Pemanfaatan Hasil Hutan Kayu Dalam Hutan Alam,Peraturan Pemerintah Republik Indonesia Nomor 33 Tahun 2014 tentang Jenis dan Tarif Atas Jenis Penerimaan Negara Bukan Pajak yang Berasal dari Penggunaan Kawasan Hutan untuk Kepentingan Pembangunan di luar Kegiatan Kehutanan yang Berlaku Pada Kemente,Peraturan Menteri Kehutanan Nomor P.34/Menhut-II/2014 tentang Tata Cara Pemberian Tunjangan Kinerja Bagi Pegawai di Lingkungan Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.35/Menhut-II/2014 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.5/Menhut-II/2013 tentang Pedoman Kehadiran Pegawai Negeri Sipil di Lingkungan Kementerian Kehutanan,"Peraturan Menteri Kehutanan Nomor P.36/Menhut-II/2014 tentang Tata Cara Penetapan Rayon di Taman Nasional, Tanaman Hutan Raya, Taman Wisata Alam dan Taman Buru Dalam Rangka Pengenaan Penerimaan Negara Bukan Pajak Bidang Pariwisata Alam","Peraturan Menteri Kehutanan Nomor P.37/Menhut-II/2014 tentang Tata Cara Pengenaan, Pemungutan dan Penyetoran Penerimaan Negara Bukan Pajak Bidang Perlindungan Hutan dan Konservasi Alam",Undang-Undang Republik Indonesia Nomor 37 Tahun 2014 tentang Konservasi Tanah dan Air,"Peraturan Menteri Kehutanan Nomor P.38/Menhut-II/2014 tentang Tata Cara dan Persyaratan Kegiatan Tertentu Pengenaan Tarif Rp.0,00 (Nol Rupiah) di Kawasan Suaka Alam, Kawasan Pelestarian Alam, Taman Buru dan Hutan Alam",Peraturan Menteri Kehutanan Nomor P.39/Menhut-II/2014 tentang Jaringan Dokumentasi dan Informasi Hukum Kementerian Kehutanan
PERMENHUT. 4/2014,PERMEN LH. 4/2014,PERMENHUT. 40/2014,PERMENHUT. 41/2014,PERMENHUT. 42/2014,PERMENHUT. 43/2014,PERMENHUT. 44/2014,PERMENHUT. 45/2014,PERMENHUT. 46/2014,PERMENHUT. 47/2014,PERMENHUT. 48/2014,PERMENHUT. 49/2014,PERMENHUT. 5/2014,PERMEN LH. 5/2014,PERMENHUT. 50/2014,PERMENHUT. 51/2014,PERMENHUT. 52/2014,PERMENHUT. 53/2014,PERMENHUT. 54/2014,PERMENHUT. 55/2014,PERMENHUT. 56/2014
"Peraturan Menteri Kehutanan Nomor P.4/Menhut-II/2014 tentang Petunjuk Teknis Pelaksanaan Penugasan Sebagian Urusan Pemerintahan Bidang Kehutanan Tahun 2014 Kepada Kepada Bupati Berau, Bupati Malianau, dan Bupati Kapuas Hulu Dalam",Peraturan Menteri Lingkungan Hidup Republik Indonesia Nomor 4 Tahun 2014 tentang Baku Mutu Emisi Sumber Tidak Bergerak Bagi Usaha Dan/Atau Kegiatan Pertambangan,Peraturan Menteri Kehutanan Nomor P.40/Menhut-II/2014 tentang Tata Cara Pelaksanaan Sewa Barang Milik Negara Lingkup Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.41/Menhut-II/2014 tentang Penatausahaan Hasil Hutan Kayu Yang Berasal Dari Hutan Alam,Peraturan Menteri Kehutanan Nomor P.42/Menhut-II/2014 tentang Penatausahaan Hasil Hutan Kayu Yang Berasal Dari Hutan Tanaman Pada Hutan Produksi,Peraturan Menteri Kehutanan Nomor P.43/Menhut-II/2014 tentang Penilaian Kinerja Pengelolaan Hutan Produksi Lestari dan Verifikasi Legalitas Kayu Pada Pemegang Izin Atau Pada Hutan Hak,Peraturan Menteri Kehutanan Nomor P.44/Menhut-II/2014 tentang Pedoman Pembangunan Unit Percontohan Penyuluhan Kehutanan,Peraturan Menteri Kehutanan Nomor P.45/Menhut-II/2014 tentang Jadwal Retensi Arsip Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.46/Menhut-II/2014 tentang Rencana Kerja Kementerian Kehutanan Tahun 2015,"Peraturan Menteri Kehutanan Nomor P.47/Menhut-II/2014 tentang Tata Cara Pengenaan, Pemungutan dan Penyetoran Penerimaan Negara Bukan Pajak di Bidang Pendidikan dan Pelatihan Kehutanan",Peraturan Menteri Kehutanan Nomor P.48/Menhut-II/2014 tentang Tata Cara Pelaksanaan Pemulihan Ekosistem Pada Kawasan Suaka Alam dan Kawasan Pelestarian Alam,Peraturan Menteri Kehutanan Nomor P.49/Menhut-II/2014 tentang Tata Cara Pelaksanaan Evaluasi Kesesuaian Fungsi Kawasan Suaka Alam dan Kawasan Pelestarian Alam,"Peraturan Menteri Kehutanan Nomor P.5/Menhut-II/2014 tentang Pedoman Pengoperasian, Perawatan, dan Pemeliharaan Pesawat Terbang Microlight Trike di Lingkungan Kementerian Kehutanan",Peraturan Menteri Lingkungan Hidup Republik Indonesia Nomor 5 Tahun 2014 tentang Baku Mutu Air Limbah,Peraturan Menteri Kehutanan Nomor P.50/Menhut-II/2014 tentang Perdagangan Sertifikat Penurunan Emisi Karbon Hutan Indonesia Atau Indonesia Certified Emission Reduction,Peraturan Menteri Kehutanan Nomor P.51/Menhut-II/2014 tentang Tata Cara dan Persyaratan PerpanjanganIzin Usaha Pemanfaatan Hasil Hutan Kayu Dalam Hutan Alam Pada Hutan Produksi,"Peraturan Menteri Kehutanan Nomor P.52/Menhut-II/2014 tentang Tata Cara Pengenaan, Pemungutan dan Penyetoran Provisi Sumber Daya Hutan, Dana Reboisasi, Penggantian Nilai Tegakan dan Ganti Rugi Tegakan",Peraturan Menteri Kehutanan Nomor P.53/Menhut-II/2014 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.48/Menhut-II/2008 tentang pedoman Penanggulangan Konflik Antara Manusia dan Satwa Liar,Peraturan Menteri Kehutanan Nomor P.54/Menhut-II/2014 tentang Kompetensi dan Sertifikasi Tenaga Teknis dan Pengawas Tenaga Teknis Pengelolaan Hutan Produksi Lestari,Peraturan Menteri Kehutanan Nomor P.55/Menhut-II/2014 tentang Izin Usaha Industri Primer Hasil Hutan,Peraturan Menteri Kehutanan Nomor P.56/Menhut-II/2014 tentang Masyarakat Mitra Polisi Kehutanan
PERMENHUT. 57/2014,PERMENHUT. 58/2014,PERMENHUT. 59/2014,PERMEN LH. 6/2014,PERMENHUT. 60/2014,PERMENHUT. 61/2014,PERMENHUT. 62/2014,PERMENHUT. 63/2014,PERMEN LHK. 64/2014,PERMEN LHK. 65/2014,PERMEN LHK. 66/2014,PERMEN LHK. 67/2014,PERMEN LHK. 68/2014,PERMEN LHK. 69/2014,PERMENHUT. 7/2014,PERMEN LH. 7/2014,PERMEN LHK. 70/2014,PERMEN LHK. 71/2014,PP. 71/2014,PERMEN LHK. 72/2014,PERMEN LHK. 73/2014
Peraturan Menteri Kehutanan Nomor P.57/Menhut-II/2014 tentang Pedoman Pembinaan Kelompok Tani Hutan,Peraturan Menteri Kehutanan Nomor P.58/Menhut-II/2014 tentang Bakti Rimbawan Dalam Pembangunan Kehutanan,Peraturan Menteri Kehutanan Nomor P.59/Menhut-II/2014 tentang Tata Cara Penyelenggaraan Sistem Informasi Pendidikan dan Pelatihan Kehutanan,Peraturan Menteri Lingkungan Hidup Republik Indonesia Nomor 6 Tahun 2014 tentang Pedoman Pelaksanaan Program Adipura,Peraturan Menteri Kehutanan Nomor P.60/Menhut-II/2014 tentang Kriteria Penetapan Klasifikasi Daerah Aliran Sungai,Peraturan Menteri Kehutanan Nomor P.61/Menhut-II/2014 tentang Monitoring dan Evaluasi Pengelolaan Daerah Aliran Sungai,Peraturan Menteri Kehutanan Nomor P.62/Menhut-II/2014 tentang Izin Pemanfaatan Kayu,"Peraturan Menteri Kehutanan Nomor P.63/Menhut-II/2014 tentang Pedoman Penanganan Pengaduan Atas Penyalahgunaan Wewenang, Pelanggaran dan Tindak Pidana Korupsi Lingkup Kementerian Kehutanan",Peraturan Menteri Kehutanan Nomor P.64/Menhut-II/2014 tentang Penerapan Silvikulutur Dalam Areal Izin Usaha Pemanfaatan Hasil Hutan Kayu Restorasi Ekosistem Pada Hutan Produksi,Peraturan Menteri Kehutanan Nomor P.65/Menhut-II/2014 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.11/Menhut-II/2009 tentang Sistem Silvikultur Dalam Areal Izin Usaha Pemanfaatan hasil Hutan Kayu Pada Hutan Produksi,Peraturan Menteri Kehutanan Nomor P.66/Menhut-II/2014 tentang Inventarisasi Hutan Berkala dan Rencana Kerja Pada Izin Usaha Pemanfaatan Hasil Hutan Kayu Restorasi Ekosistem,Peraturan Menteri Kehutanan Nomor P.67/Menhut-II/2014 tentang Sistem Informasi Pengelolaan Daerah Aliran Sungai,"Peraturan Menteri Kehutanan Nomor P.68/Menhut-II/2014 tentang Penetapan Harga Patokan Hasil Hutan Untuk Perhitungan Provisi Sumber Daya Hutan, Ganti Rugi Tegakan dan Penggantian Nilai Tegakan",Peraturan Menteri Kehutanan Nomor P.69/Menhut-II/2014 tentang Penetapan Musim Berburu Satwa Buru,"Peraturan Menteri Kehutanan Nomor P.7/Menhut-II/2014 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P.44/Menhut-II/2008 tentang Tata Cara Pelaksanaan Penggunaan, Pemanfaatan, Penghapusan, dan Pemindahtanganan Barang Milik Negara Lingk",Peraturan Menteri Lingkungan Hidup Republik Indonesia Nomor 7 Tahun 2014 tentang Kerugian Lingkungan Hidup Akibat Pencemaran dan/atau Kerusakan Lingkungan Hidup,Peraturan Menteri Kehutanan Nomor P.70/Menhut-II/2014 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.19/Menhut-II/2010 tentang Penggolongan dan Tata Cara Penetapan Jumlah Satwa Buru,Peraturan Menteri Kehutanan Nomor P.71/Menhut-II/2014 tentang Memiliki dan Membawa Hasil Buru,Peraturan Pemerintah Republik Indonesia Nomor 71 Tahun 2014 tentang Perlindungan dan Pengelolaan Ekosistem Gambut,"Peraturan Menteri Kehutanan Nomor P.72/Menhut-II/2014 tentang Tata Cara Pengenaan, Pemungutan dan Penyetoran Penerimaan Negara Bukan Pajak Yang Berlaku Pada Kementerian Kehutanan Dari Perbenihan Tanaman Hutan",Peraturan Menteri Kehutanan Nomor P.73/Menhut-II/2014 tentang Rencana Kerja Usaha Pemanfaatan Penyerapan dan/atau Penyimpanan Karbon Pada Hutan Produksi
PERMEN LHK. 74/2014,PERMEN LHK. 75/2014,PERMEN LHK. 76/2014,PERMEN LHK. 77/2014,PERMEN LHK. 78/2014,PERMEN LHK. 79/2014,PERMENHUT. 8/2014,PERMEN LHK. 81/2014,PERMEN LHK. 82/2014,PERMEN LHK. 83/2014,PERMEN LHK. 84/2014,PERMEN LHK. 85/2014,PERMEN LHK. 86/2014,SK MENLHK. 866/2014,PERMEN LHK. 87/2014,PERMEN LHK. 88/2014,PERMEN LHK. 89/2014,PERMENHUT. 9/2014,PERMEN LHK. 90/2014,PERMEN LHK. 91/2014,PERMEN LHK. 92/2014
Peraturan Menteri Kehutanan Nomor P.74/Menhut-II/2014 tentang Penerapan Teknik Silvikultur Dalam Usaha Pemanfaatan Penyerapan dan/atau Penyimpanan Karbon Pada Hutan Produksi,Peraturan Menteri Kehutanan Nomor P.75/Menhut-II/2014 tentang Polisi Kehutanan,Peraturan Menteri Kehutanan Nomor P.76/Menhut-II/2014 tentang Penetapan Besarnya Iuran Izin Usaha Pemanfaatan Hutan,"Peraturan Menteri Kehutanan Nomor P.77/Menhut-II/2014 tentang Tata Cara Pengangkatan, Pembebastugasan, Pemberhentian Dan Tanggung Jawab Bendahara Penerimaan, Bendahara Pengeluaran/Bendahara Pengeluaran Pembantu, Petugas Pembantu Bendahara Penerimaan",Peraturan Menteri Kehutanan Nomor P.78/Menhut-II/2014 tentang Pedoman Penyusunan Programa Penyuluhan Kehutanan,Peraturan Menteri Kehutanan Nomor P.79/Menhut-II/2014 tentang Pemasukan Satwa Liar ke Taman Buru dan Kebun Buru,"Peraturan Menteri Kehutanan Nomor P.8/Menhut-II/2014 tentang Pembatasan Luasan Izin Usaha Pemanfaatan Hasil Hutan Kayu (IUPHHK) Dalam Hutan Alam, IUPHHK Hutan Tanaman Industri Atau IUPHHK Restorasi Ekosistem Pada Hutan Produksi",Peraturan Menteri Kehutanan Nomor P.81/Menhut-II/2014 tentang Tata Cara Pelaksanaan Inventarisasi Potensi pada Kawasan Suaka Alam dam Kawasan Pelestarian Alam,Peraturan Menteri Kehutanan Nomor P.82/Menhut-II/2014 tentang Nama-Nama dan Uraian Jabatan Struktural Lingkup Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.83/Menhut-II/2014 tentang Peminjaman Jenis Satwa Liar Dilindungi Ke Luar Negeri Untuk Kepentingan Pengembakbiakan (Breeding Loan),Peraturan Menteri Kehutanan Nomor P.84/Menhut-II/2014 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.56/Menhut-II/2008 Tentang Tata Cara Penentuan Luas Areal Terganggu Dan Areal Reklamasi Dan Revegetasi Untuk Perhitungan Penerimaan Negara,Peraturan Menteri Kehutanan Nomor P.85/Menhut-II/2014 tentang Tata Cara Kerjasama Penyelenggaraan Kawasan Suaka Alam dan Kawasan Pelestarian Alam,Peraturan Menteri Kehutanan Nomor P.86/Menhut-II/2014 tentang Pengendalian Gratifikasi di Lingkungan Kementerian Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor 866 Tahun 2014 tentang Kawasan Hutan dan Konservasi Perairan Provinsi Sumatera Selatan,Peraturan Menteri Kehutanan Nomor P.87/Menhut-II/2014 tentang Pedoman Penanaman Bagi Pemegang Izin Pinjam Pakai Kawasan Hutan Dalam Rangka Rehabilitasi Daerah Aliran Sungai,Peraturan Menteri Kehutanan Nomor P.88/Menhut-II/2014 tentang Hutan Kemasyarakatan,Peraturan Menteri Kehutanan Nomor P.89/Menhut-II/2014 tentang Hutan Desa,Peraturan Menteri Kehutanan Nomor P.9/Menhut-II/2014 tentang Petunjuk Teknis Pelaksanaan Jabatan Fungsional Polisi Kehutanan dan Angka Kreditnya,Peraturan Menteri Kehutanan Nomor P.90/Menhut-II/2014 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.13/Menhut-II/2014 tentang Unit layanan Pengadaan di Lingkup Kementerian Kehutanan,Peraturan Menteri Kehutanan Nomor P.91/Menhut-II/2014 tentang Penatausahaan Hasil Hutan Bukan Kayu Yang Berasal Dari Hutan Negara,"Peraturan Menteri Kehutanan Nomor P.92/Menhut-II/2014 tentang Tata Cara Pengenaan, Pemungutan, Dan Penyetoran Penerimaan Negara Bukan Pajak Bidang Penelitian Dan Pengembangan Kehutanan"
PERMENHUT. 94/2014,PERMEN LHK. 95/2014,PERMEN LHK. 96/2014,PERMEN LHK. 97/2014,PERMEN LHK. 98/2014,PERMEN LHK. 99/2014,PERMEN LHK. 01/2015,PERMEN LHK. 1/2015,PERMENHUT. 12/2015,PERMEN LHK. 13/2015,PERMEN LHK. 14/2015,PERMEN LHK. 15/2015,PERMEN LHK. 16/2015,PERMEN LHK. 17/2015,PERMEN LHK. 18/2015,PERMEN LHK. 19/2015,PERMEN LHK. 20/2015,PERMEN LHK. 21/2015,PERMEN LHK. 22/2015,PERMEN LHK. 23/2015,PERMEN LHK. 24/2015
